    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
      -1.158160308,      0.8488241216,       1.496659092,       4.298317176,       2.528380548,       3.363297477
      -1.079110312,       0.525483881,       1.725493496,       4.314425473,       2.447658888,       3.360452113
      -1.040859438,      0.7191624223,       1.676645926,       4.398216185,       2.245199122,       3.191003247
       -1.32474516,      0.6501349395,       1.805697803,         4.0319168,       2.317190851,       3.245060931
       -1.20684292,      0.6898112449,       1.611348438,       4.255183437,       2.491047108,       3.412054305
      -1.084433128,      0.6999017499,       1.957932548,       4.266275337,       2.363411953,       3.203700674
      -1.311493506,       0.703004743,       1.441868245,        4.15540705,         2.3439177,       3.299294508
      -1.075713684,      0.6318763909,       1.844295996,        4.31681251,       2.245255561,       3.139082383
      -1.132874745,      0.9148432144,       1.448142752,        4.29345179,       2.423772224,       3.475467912
     -0.8834790236,      0.8495428154,       1.682789418,       4.519799405,       2.144193086,       3.121149631
      -1.203018058,      0.6428124483,       1.597608107,        4.26931203,        2.34754631,       3.360791224
     -0.8469621385,      0.9237148521,       1.529431655,       4.533360035,       1.893500944,       2.845037083
      -1.563020138,      0.6896514552,      0.7867893285,       3.984444734,       1.858033471,       2.816446286
      -1.686977637,      0.5689064824,      0.7343599907,       3.857331951,        1.89692463,       2.877061481
      -1.487386764,      0.4107314133,       1.092755947,       3.942762886,       2.170882166,       2.974898544
       -1.27578912,       0.244653452,       1.119648082,       4.168457026,       2.215263674,       3.121710198
      -1.260896826,      0.4537209056,       1.628378363,       4.122783103,       2.322145032,       3.242913706
      -1.006319724,      0.8174053264,       1.678087176,       4.401500958,       2.402935091,       3.337407678
      -1.268035425,      0.8178232134,       1.578678735,       4.221526385,        2.38559955,       3.230641447
      -1.189779953,      0.7216189918,       1.806797397,       4.305315023,       2.504270565,       3.366776641
      -1.189294347,      0.8745718664,       1.774046135,       4.328786901,       2.499843467,       3.380249055
      -1.268801214,       1.011132178,        1.90561883,        4.22787778,       2.545437929,       3.459916255
      -1.090296856,       1.082812732,       1.736356796,       4.387823409,       2.653004957,       3.650030453
      -1.154347087,       0.675755164,       2.047658051,         4.0672247,       2.290334509,       3.177655246
      -1.191338141,       1.153058678,       1.327349303,        4.29230281,       2.410916222,         3.3332521
      -1.235360529,      0.4209329204,       1.811088637,       4.083133416,       2.441911814,       3.298171571
      -1.026619781,         0.9432967,        1.93005473,       4.430524865,       2.637322027,        3.40585684
      -1.118904386,      0.6189718884,        2.02317373,       4.358059403,       2.795112405,       3.622644634
     -0.8378421003,      0.8902472471,       1.958810513,       4.598944313,       2.932304759,       3.566539057
      -1.107088081,      0.7589629748,       2.162711697,       4.465889265,       3.062550522,       3.789653813
      -0.854538844,      0.9727403379,         1.9779711,       4.625483206,       3.416164673,       3.950542206
      -1.020156377,      0.7635324976,       2.232299751,        4.55673771,       3.521160237,       4.115814536
     -0.7175095761,      0.9865632035,       2.197031166,       4.702023773,       3.171557185,       3.826416547
     -0.8242435938,      0.9559054136,       2.417143518,       4.553489821,       3.430079202,       4.009965277
     -0.9202956568,      0.7709691683,       1.906922179,       4.520586604,       3.460554755,       4.045953517
     -0.6860282742,       1.031088127,       2.503787787,       4.724958501,       3.480627072,       3.985437731
       -1.28356126,      0.7060444978,       1.823749301,       4.091671619,       3.328965924,       3.989559331
     -0.8029817971,      0.8222976852,       2.235781204,       4.680341328,       3.332318261,       3.961317459
     -0.9990106513,      0.6455969982,       2.202057335,       4.285413208,       3.173951484,       3.877156749
     -0.9421738071,      0.8571324398,       2.135378027,       4.556480881,       3.240734122,       3.985562294
     -0.8837182016,      0.5446040026,       2.303084994,       4.429903977,        2.90210507,       3.706510997
      -1.069074872,      0.9307056657,        2.03503496,       4.455122496,       3.336892324,       4.043048769
     -0.7880903764,      0.6529098602,       2.377116542,       4.530417809,       2.531781174,       3.425643506
      -1.188836429,      0.8989077617,       1.834909966,       4.359510967,       3.320458202,       4.023293855
     -0.6893845947,      0.8050689988,       2.347861076,        4.65838485,       2.538567648,       3.284434114
      -1.323538512,      0.7962238912,       1.483682554,       4.176469385,       2.896036865,       3.569370366
      -1.015864781,      0.5290691177,       1.996989401,       4.334994623,       2.489222406,       3.385619851
      -1.063198234,      0.8802341402,       2.043664334,       4.406732828,       2.894313809,       3.634928478
      -1.098777605,      0.6645360278,       2.105036308,         4.2553506,       2.530886455,        3.40963595
      -1.166182938,      0.9260434845,        1.93204753,       4.348266523,       2.804144682,       3.564537856
      -1.025462604,       0.560591387,       2.148435222,       4.267713471,       2.477200018,       3.374468846
      -1.189382108,      0.8760121847,       1.721119167,       4.335920883,       2.785728905,       3.584265474
     -0.9028128142,      0.5495822308,       2.046027443,       4.430327259,       1.997026357,       3.062312628
      -1.586708636,      0.6200454185,       1.228026528,       4.045448188,        2.56189378,       3.358915913
     -0.9909556138,      0.5403634672,       1.957301539,       4.366387954,       1.874965256,       2.937049682
       -1.29657078,      0.8990951487,        1.32069848,       4.134720638,       2.402819187,       3.265403275
      -1.086301315,      0.6837037078,       1.786075545,        4.28639629,       1.911808881,       2.903110362
      -1.256773965,      0.9279869503,        1.34130006,       4.167671648,       2.196648275,       3.131732832
       -1.13109727,      0.6249390634,       1.651391569,       4.243531621,       1.996456826,       2.945944423
      -1.455283619,      0.7247138278,       1.102472501,       3.952064789,       1.919720751,       2.819063953
      -1.236359639,      0.5044225872,       1.655678582,       4.132604552,       1.798490592,       2.946393116
      -1.210019353,        0.98394871,       1.273227165,       4.229383873,       1.855224876,       2.927314842
      -1.310078358,      0.5495999359,       1.530968787,       4.047912418,       1.725945553,       2.788645229
      -1.347577156,       0.844016683,        1.20044295,       4.098328066,       1.798013956,       2.832183375
      -1.357355925,      0.3669778646,       1.542181889,       3.987588928,       1.731629696,       2.813248881
      -1.330406876,      0.8775670173,       1.141345406,       4.115761137,       1.803564408,       2.750675871
      -1.681738246,       0.310470157,       1.027930263,       3.688377556,        1.89780028,       2.875297857
