"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         141,      -3.447474246,      -1.031443158,      -0.969103188,       2.030572542,      -7.949922326
          0,           0,         142,      -3.450230699,      -1.029365776,     -0.9649569572,       2.027819489,      -7.951850067
          0,           0,         143,      -3.454435974,       -1.02839408,     -0.9616540488,       2.023554973,       -7.95460167
          0,           0,         144,      -3.460102525,      -1.028668259,     -0.9594801887,       2.017767169,      -7.958115384
          0,           0,         145,       -3.46713127,      -1.030341474,       -0.95882318,       2.010549885,      -7.962425182
          0,           0,         146,      -3.475402552,      -1.033828909,     -0.9600761011,       2.002040753,      -7.967436473
          0,           0,         147,       -3.48483638,      -1.039343061,     -0.9635254041,       1.992321688,      -7.973109755
          0,           0,         148,      -3.495082924,      -1.046849786,     -0.9698697563,       1.981735853,      -7.979420845
          0,           0,         149,       -3.50624693,      -1.056620387,      -0.978945405,        1.97019784,      -7.986338995
          0,           0,         150,      -3.518023292,      -1.068764068,     -0.9909041208,       1.958038212,      -7.993613742
          0,           0,         151,      -3.530233389,      -1.083251721,      -1.005960835,       1.945449914,      -8.000941556
          0,           0,         152,      -3.542228468,      -1.100100925,      -1.024337053,       1.933104904,      -8.008032553
          0,           0,         153,       -3.55391384,      -1.119319918,      -1.046655409,       1.921133917,      -8.014713815
          0,           0,         154,      -3.564592895,      -1.140855484,      -1.072641498,       1.910240206,      -8.020790052
          0,           0,         155,      -3.574373222,      -1.164033562,      -1.101976231,       1.900364346,      -8.025960974
          0,           0,         156,      -3.582798475,       -1.18838154,      -1.135231073,       1.891970928,       -8.03019951
          0,           0,         157,      -3.589788712,      -1.213037748,      -1.170459907,       1.885154048,      -8.033318756
          0,           0,         158,      -3.594964704,      -1.236510493,      -1.206644872,       1.880294756,      -8.035188496
          0,           0,         159,      -3.598650588,      -1.257496385,      -1.242228523,       1.877065606,      -8.035865496
          0,           0,         160,      -3.601012711,      -1.274428296,      -1.274219358,       1.875257888,      -8.035496714
          0,           0,         161,      -3.602648779,      -1.285678389,      -1.299736625,       1.874254448,      -8.034360239
          0,           0,         162,      -3.603876338,      -1.290551161,      -1.315551157,       1.873704158,      -8.032763875
          0,           0,         163,      -3.605335758,      -1.289240628,      -1.320662858,       1.872931806,      -8.031130076
          0,           0,         164,       -3.60792964,      -1.282722595,      -1.316722102,       1.871031038,      -8.029862437
          0,           0,         165,      -3.611155112,      -1.272180865,      -1.306168803,       1.868465686,      -8.029389382
          0,           0,         166,      -3.615551614,       -1.25923885,      -1.292656977,       1.864694553,      -8.030060914
          0,           0,         167,      -3.621761827,      -1.245333941,      -1.278524885,       1.859103409,      -8.032027721
          0,           0,         168,      -3.630024991,      -1.231685263,      -1.265344557,       1.851480153,       -8.03529924
          0,           0,         169,      -3.640513013,      -1.219053303,       -1.25432472,       1.841669688,      -8.039916576
          0,           0,         170,      -3.653217461,      -1.208182617,      -1.246320076,       1.829688933,      -8.045755211
          0,           0,         171,      -3.668007979,      -1.199292727,      -1.242078616,       1.815678033,      -8.052656962
          0,           0,         172,      -3.684727553,      -1.192827031,      -1.241402487,       1.799794083,      -8.060647256
          0,           0,         173,      -3.703236114,      -1.188736884,      -1.244498465,       1.782183956,      -8.069576851
          0,           0,         174,      -3.723348814,      -1.187029156,      -1.251184492,       1.763030016,      -8.079179266
          0,           0,         175,      -3.744648589,      -1.187807212,        -1.2614455,       1.742725939,      -8.089280804
          0,           0,         176,      -3.766876824,      -1.190954922,      -1.275057535,       1.721499916,      -8.099694158
          0,           0,         177,      -3.789743988,      -1.196575251,      -1.291875921,       1.699619097,      -8.110280439
          0,           0,         178,      -3.813160402,      -1.204482234,      -1.311445991,       1.677151054,      -8.120733843
          0,           0,         179,      -3.836543089,      -1.214557808,      -1.333222784,       1.654585139,      -8.130996419
          0,           0,         180,      -3.859499676,      -1.226637017,      -1.356423736,        1.63222498,      -8.141016851
          0,           0,         181,      -3.881797285,      -1.240618979,      -1.380176478,       1.610253382,      -8.150746689
          0,           0,         182,      -3.903101875,      -1.256520823,      -1.403425783,       1.588929645,      -8.160242753
          0,           0,         183,       -3.92325183,      -1.274149563,      -1.425131516,       1.568350148,      -8.169635635
          0,           0,         184,       -3.94237001,      -1.293281602,      -1.444049118,       1.548347776,      -8.178920037
          0,           0,         185,      -3.960823696,      -1.313588794,      -1.459327589,       1.528586692,      -8.188089022
          0,           0,         186,       -3.97851761,      -1.335048635,      -1.471050807,       1.509138902,      -8.197087216
          0,           0,         187,      -3.995734554,      -1.357259972,      -1.479288766,       1.489708356,      -8.206003148
          0,           0,         188,      -4.012219416,      -1.380047928,       -1.48477248,       1.470528729,      -8.214785438
          0,           0,         189,      -4.028584314,      -1.403096238,      -1.488444471,       1.451054971,      -8.223358601
          0,           0,         190,      -4.043985655,      -1.426122535,      -1.491137491,       1.432216264,      -8.231560673
          0,           0,         191,      -4.057654335,      -1.448816525,      -1.493943738,       1.414811276,      -8.239284995
          0,           0,         192,      -4.068892694,      -1.470858372,      -1.497602835,       1.399692285,      -8.246308275
          0,           0,         193,      -4.077931192,      -1.492172616,       -1.50245665,       1.386860792,       -8.25250767
          0,           0,         194,      -4.084231088,      -1.512394563,      -1.508828634,       1.377051995,      -8.257674632
          0,           0,         195,      -4.087766775,      -1.531202526,      -1.516995443,       1.370509031,      -8.261679652
          0,           0,         196,      -4.088827015,      -1.548389038,      -1.526932128,       1.367093072,      -8.264630696
          0,           0,         197,      -4.087594829,      -1.564040799,      -1.538536044,       1.366669906,      -8.266799318
          0,           0,         198,      -4.084463362,      -1.578104965,      -1.551736297,        1.36881071,      -8.268344385
          0,           0,         199,      -4.079997976,      -1.590507156,       -1.56628156,       1.372857465,       -8.26929617
          0,           0,         200,        -4.0749393,      -1.601255824,      -1.581719537,       1.377893863,      -8.269844203
          0,           0,         201,      -4.069685272,      -1.610408592,      -1.597544745,       1.383399189,      -8.270108916
          0,           0,         202,      -4.064804672,      -1.618002032,      -1.613345202,       1.388650347,      -8.270047349
          0,           0,         203,      -4.060535633,      -1.624053208,      -1.628231461,       1.393385134,       -8.26983132
          0,           0,         204,      -4.057295503,      -1.629093425,      -1.641629331,       1.397036113,      -8.269617077
          0,           0,         205,      -4.055012836,       -1.63306093,      -1.653188401,         1.3996562,      -8.269533989
          0,           0,         206,       -4.05410378,      -1.636133451,      -1.662341429,       1.400787677,      -8.269411111
          0,           0,         207,      -4.054375133,      -1.638264813,      -1.669208794,       1.400582191,      -8.269356435
          0,           0,         208,      -4.055725139,      -1.639324237,       -1.67404162,       1.399137952,      -8.269347997
          0,           0,         209,      -4.058044653,      -1.639494562,      -1.677038361,       1.396560374,      -8.269457025
          0,           0,         210,      -4.061136659,      -1.639009046,      -1.678521139,       1.393053832,      -8.269689862
          0,           0,         211,      -4.064834165,      -1.637960116,      -1.679051691,       1.388803181,      -8.269925303
          0,           0,         212,      -4.068790123,      -1.636536778,      -1.679100377,       1.384179666,      -8.270332389
          0,           0,         213,      -4.072882784,      -1.634833085,      -1.679060813,       1.379309179,      -8.270682575
          0,           0,         214,      -4.076781677,      -1.633040494,      -1.679227319,       1.374556812,       -8.27096241
          0,           0,         215,      -4.080370296,      -1.631244404,      -1.679946063,       1.370077345,      -8.271080683
          0,           0,         216,      -4.083445028,      -1.629577485,      -1.681511014,       1.366122608,      -8.271048774
          0,           0,         217,      -4.085866149,      -1.627822567,      -1.683931203,       1.362871638,       -8.27091331
          0,           0,         218,      -4.087571608,       -1.62618423,      -1.687175873,        1.36039374,      -8.270602545
          0,           0,         219,      -4.088482525,      -1.624788965,      -1.691240154,       1.358796451,      -8.270089086
          0,           0,         220,      -4.088592825,      -1.623632997,      -1.696032294,       1.358096692,      -8.269590992
          0,           0,         221,      -4.088029199,      -1.622734589,      -1.701329694,       1.358187518,      -8.268874995
          0,           0,         222,      -4.086800722,        -1.6220341,      -1.707017338,       1.359071475,      -8.268010408
          0,           0,         223,      -4.085093846,      -1.621514586,      -1.712925565,       1.360550327,      -8.267202899
          0,           0,         224,      -4.083042348,      -1.620969761,      -1.718826975,       1.362478726,       -8.26650851
          0,           0,         225,      -4.080713981,      -1.620491637,      -1.724397099,       1.364757439,      -8.265844253
          0,           0,         226,      -4.078284533,      -1.620072342,      -1.729434946,       1.367199376,      -8.265207791
          0,           0,         227,       -4.07590972,      -1.619820207,      -1.733922938,       1.369619646,      -8.264664852
          0,           0,         228,      -4.073664937,      -1.619660009,      -1.737743907,       1.371935212,      -8.264153823
          0,           0,         229,      -4.071663414,      -1.619512024,      -1.740665106,       1.374015419,         -8.263535
          0,           0,         230,      -4.070019973,      -1.619241844,      -1.742385869,       1.375750029,      -8.262892985
          0,           0,         231,      -4.068744328,      -1.618943058,      -1.742919775,       1.377128256,      -8.262147275
          0,           0,         232,        -4.0678804,      -1.618677229,      -1.742433097,       1.378101735,      -8.261430296
          0,           0,         233,      -4.067470206,       -1.61847926,      -1.741051119,       1.378628522,      -8.260669495
          0,           0,         234,      -4.067526988,      -1.618379752,      -1.738978529,       1.378692672,      -8.259795076
          0,           0,         235,      -4.068113877,       -1.61820989,      -1.736192188,       1.378232014,       -8.25885671
          0,           0,         236,      -4.069130937,        -1.6181121,       -1.73299027,       1.377362528,      -8.257953921
          0,           0,         237,      -4.070503295,      -1.618232693,      -1.729721995,       1.376165108,       -8.25716473
          0,           0,         238,       -4.07230688,      -1.618477841,      -1.726291406,       1.374560674,       -8.25649843
          0,           0,         239,      -4.074363452,       -1.61893156,      -1.722962456,       1.372731384,      -8.255847832
          0,           0,         240,      -4.076652304,      -1.619694352,      -1.719803978,       1.370690634,      -8.255136757
          0,           0,         241,      -4.079104464,      -1.620848315,      -1.717160385,       1.368495069,      -8.254379788
          0,           0,         242,      -4.081664963,      -1.622359174,       -1.71514592,       1.366196128,      -8.253335219
          0,           0,         243,      -4.084103211,      -1.623989434,      -1.713961524,       1.364035502,      -8.251876119
          0,           0,         244,      -4.086473797,      -1.625690381,      -1.713243928,       1.361941521,      -8.250100418
          0,           0,         245,      -4.088536152,      -1.627442037,      -1.713066663,       1.360132838,       -8.24803111
          0,           0,         246,      -4.090297086,      -1.629136132,      -1.713368024,       1.358596651,      -8.245676384
          0,           0,         247,       -4.09163938,      -1.630592762,      -1.714064626,       1.357442764,      -8.243065864
          0,           0,         248,      -4.092514571,      -1.631699229,      -1.715056172,       1.356701642,      -8.240196371
          0,           0,         249,      -4.092917445,      -1.632272651,      -1.716217991,       1.356362067,       -8.23705707
          0,           0,         250,      -4.092792567,      -1.632160928,      -1.717234719,       1.356461394,      -8.233744793
          0,           0,         251,      -4.092147521,      -1.631215002,      -1.717946809,       1.356982117,      -8.230284284
